# code;slog;name;alternateName;componentProductType;descriptionLongVerum;descriptionShortVerum;primaryImage;imagemThumbNail;otherImages;supercategories;approvalstatus;catalogversion
2318;ar-condicionado-janela-eletronico-consul-7500-btus-frio-127v-monofasico-ccn07ebana.html;Ar Condicionado Janela Eletronico Consul 7500 Btus Frio 127V Monofasico CCN07EBANA;Ar Condicionado Janela Eletronico Consul 7500 Btus Frio 127V Monofasico CCN07EBANA;;O ar condicionado de janela Consul proporciona um ambiente agradável para sua casa com benefícios para deixar o ar limpo e fresco. Suas aletas espirais proporcionam a distribuição de ar por todo o ambiente. O ar fica mais limpo com o filtro de proteção ativa Consul. Silencioso e eficiente, o ar de janela Consul tem selo Procel com classificação energética A.;O ar Condicionado de janela Consul proporciona um ambiente agradável e você encontra ele na CentralAr.com por um preço imbatível.;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2318/ar-condicionado-janela-eletronico-consul-7500-btus-frio-127v-monofasico-ccn07ebana_Fot2318_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2318/ar-condicionado-janela-eletronico-consul-7500-btus-frio-127v-monofasico-ccn07ebana_Fot2318_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2318/ar-condicionado-janela-eletronico-consul-7500-btus-frio-127v-monofasico-ccn07ebana_Fot2318_2_Full.jpg,https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2318/ar-condicionado-janela-eletronico-consul-7500-btus-frio-127v-monofasico-ccn07ebana_Fot2318_3_Full.jpg;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
2318;ar-condicionado-janela-eletronico-consul-7500-btus-frio-127v-monofasico-ccn07ebana.html;Ar Condicionado Janela Eletronico Consul 7500 Btus Frio 127V Monofasico CCN07EBANA;Ar Condicionado Janela Eletronico Consul 7500 Btus Frio 127V Monofasico CCN07EBANA;;O ar condicionado de janela Consul proporciona um ambiente agradável para sua casa com benefícios para deixar o ar limpo e fresco. Suas aletas espirais proporcionam a distribuição de ar por todo o ambiente. O ar fica mais limpo com o filtro de proteção ativa Consul. Silencioso e eficiente, o ar de janela Consul tem selo Procel com classificação energética A.;O ar Condicionado de janela Consul proporciona um ambiente agradável e você encontra ele na CentralAr.com por um preço imbatível.;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2318/ar-condicionado-janela-eletronico-consul-7500-btus-frio-127v-monofasico-ccn07ebana_Fot2318_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2318/ar-condicionado-janela-eletronico-consul-7500-btus-frio-127v-monofasico-ccn07ebana_Fot2318_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2318/ar-condicionado-janela-eletronico-consul-7500-btus-frio-127v-monofasico-ccn07ebana_Fot2318_2_Full.jpg,https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2318/ar-condicionado-janela-eletronico-consul-7500-btus-frio-127v-monofasico-ccn07ebana_Fot2318_3_Full.jpg;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
2320;ar-condicionado-janela-manual-consul-10000-btus-frio-127v-monofasico-ccb10ebana.html;Ar Condicionado Janela Manual Consul 10000 Btus Frio 127V Monofasico CCB10EBANA;Ar Condicionado Janela Manual Consul 10000 Btus Frio 127V Monofasico CCB10EBANA;;O ar condicionado de janela Consul proporciona um ambiente agradável para sua casa com benefícios para deixar o ar limpo e fresco. Suas aletas espirais proporcionam a distribuição de ar por todo o ambiente. O ar fica mais limpo com o filtro de proteção ativa Consul. Silencioso e eficiente, o ar de janela Consul tem selo Procel com classificação energética A.;O ar Condicionado de janela Consul proporciona um ambiente agradável e você encontra ele na CentralAr.com por um preço imbatível.;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2320/ar-condicionado-janela-manual-consul-10000-btus-frio-127v-monofasico-ccb10ebana_Fot2320_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2320/ar-condicionado-janela-manual-consul-10000-btus-frio-127v-monofasico-ccb10ebana_Fot2320_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2320/ar-condicionado-janela-manual-consul-10000-btus-frio-127v-monofasico-ccb10ebana_Fot2320_2_Full.jpg;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
2320;ar-condicionado-janela-manual-consul-10000-btus-frio-127v-monofasico-ccb10ebana.html;Ar Condicionado Janela Manual Consul 10000 Btus Frio 127V Monofasico CCB10EBANA;Ar Condicionado Janela Manual Consul 10000 Btus Frio 127V Monofasico CCB10EBANA;;O ar condicionado de janela Consul proporciona um ambiente agradável para sua casa com benefícios para deixar o ar limpo e fresco. Suas aletas espirais proporcionam a distribuição de ar por todo o ambiente. O ar fica mais limpo com o filtro de proteção ativa Consul. Silencioso e eficiente, o ar de janela Consul tem selo Procel com classificação energética A.;O ar Condicionado de janela Consul proporciona um ambiente agradável e você encontra ele na CentralAr.com por um preço imbatível.;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2320/ar-condicionado-janela-manual-consul-10000-btus-frio-127v-monofasico-ccb10ebana_Fot2320_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2320/ar-condicionado-janela-manual-consul-10000-btus-frio-127v-monofasico-ccb10ebana_Fot2320_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2320/ar-condicionado-janela-manual-consul-10000-btus-frio-127v-monofasico-ccb10ebana_Fot2320_2_Full.jpg;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
2328;ar-condicionado-janela-eletronico-consul-12000-btus-frio-127v-ccy12ebana.html;Ar Condicionado Janela Eletronico Consul 12000 Btus Frio 127V CCY12EBANA;Ar Condicionado Janela Eletronico Consul 12000 Btus Frio 127V CCY12EBANA;;O ar Condicionado de janela Consul proporciona um ambiente agradável para sua casa com benefícios para deixar o ar limpo e fresco. Suas aletas espirais proporcionam a distribuição de ar por todo o ambiente. O ar fica mais limpo com o filtro de proteção ativa Consul. Silencioso e eficiente.;O ar Condicionado de janela Consul proporciona um ambiente agradável, e você encontra ele na CentralAr.com por um preço imbatível.;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2328/ar-condicionado-janela-eletronico-consul-12000-btus-frio-127v-ccy12ebana_Fot2328_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2328/ar-condicionado-janela-eletronico-consul-12000-btus-frio-127v-ccy12ebana_Fot2328_1_Full.jpg;;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
2328;ar-condicionado-janela-eletronico-consul-12000-btus-frio-127v-ccy12ebana.html;Ar Condicionado Janela Eletronico Consul 12000 Btus Frio 127V CCY12EBANA;Ar Condicionado Janela Eletronico Consul 12000 Btus Frio 127V CCY12EBANA;;O ar Condicionado de janela Consul proporciona um ambiente agradável para sua casa com benefícios para deixar o ar limpo e fresco. Suas aletas espirais proporcionam a distribuição de ar por todo o ambiente. O ar fica mais limpo com o filtro de proteção ativa Consul. Silencioso e eficiente.;O ar Condicionado de janela Consul proporciona um ambiente agradável, e você encontra ele na CentralAr.com por um preço imbatível.;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2328/ar-condicionado-janela-eletronico-consul-12000-btus-frio-127v-ccy12ebana_Fot2328_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2328/ar-condicionado-janela-eletronico-consul-12000-btus-frio-127v-ccy12ebana_Fot2328_1_Full.jpg;;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
2329;ar-condicionado-janela-eletronico-consul-10000-btus-frio-127v-monofasico-ccn10ebana.html;Ar Condicionado Janela Eletronico Consul 10000 Btus Frio 127V Monofasico CCN10EBANA;Ar Condicionado Janela Eletronico Consul 10000 Btus Frio 127V Monofasico CCN10EBANA;;O ar condicionado de janela Consul proporciona um ambiente agradável para sua casa com benefícios para deixar o ar limpo e fresco. Suas aletas espirais proporcionam a distribuição de ar por todo o ambiente. O ar fica mais limpo com o filtro de proteção ativa Consul. Silencioso e eficiente, o ar de janela Consul tem selo Procel com classificação energética A.;O ar Condicionado de janela Consul proporciona um ambiente agradável e você encontra ele na CentralAr.com por um preço imbatível.;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2329/ar-condicionado-janela-eletronico-consul-10000-btus-frio-127v-monofasico-ccn10ebana_Fot2329_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2329/ar-condicionado-janela-eletronico-consul-10000-btus-frio-127v-monofasico-ccn10ebana_Fot2329_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2329/ar-condicionado-janela-eletronico-consul-10000-btus-frio-127v-monofasico-ccn10ebana_Fot2329_2_Full.jpg,https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2329/ar-condicionado-janela-eletronico-consul-10000-btus-frio-127v-monofasico-ccn10ebana_Fot2329_3_Full.jpg;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
2329;ar-condicionado-janela-eletronico-consul-10000-btus-frio-127v-monofasico-ccn10ebana.html;Ar Condicionado Janela Eletronico Consul 10000 Btus Frio 127V Monofasico CCN10EBANA;Ar Condicionado Janela Eletronico Consul 10000 Btus Frio 127V Monofasico CCN10EBANA;;O ar condicionado de janela Consul proporciona um ambiente agradável para sua casa com benefícios para deixar o ar limpo e fresco. Suas aletas espirais proporcionam a distribuição de ar por todo o ambiente. O ar fica mais limpo com o filtro de proteção ativa Consul. Silencioso e eficiente, o ar de janela Consul tem selo Procel com classificação energética A.;O ar Condicionado de janela Consul proporciona um ambiente agradável e você encontra ele na CentralAr.com por um preço imbatível.;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2329/ar-condicionado-janela-eletronico-consul-10000-btus-frio-127v-monofasico-ccn10ebana_Fot2329_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2329/ar-condicionado-janela-eletronico-consul-10000-btus-frio-127v-monofasico-ccn10ebana_Fot2329_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2329/ar-condicionado-janela-eletronico-consul-10000-btus-frio-127v-monofasico-ccn10ebana_Fot2329_2_Full.jpg,https://cdn2.centralar.com.br/centralar/mds/produtos/consul/janela/2329/ar-condicionado-janela-eletronico-consul-10000-btus-frio-127v-monofasico-ccn10ebana_Fot2329_3_Full.jpg;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
2442;ar-condicionado-portatil-agratto-11000-btus-frio-127v-monofasico-acp11f01.html;Ar Condicionado Portatil Agratto 11000 Btus Frio 127V Monofasico ACP11F01;Ar Condicionado Portatil Agratto 11000 Btus Frio 127V Monofasico ACP11F01;;Ideal para locais que não podem sofrer alterações para instalar um ar Condicionado, o ar Condicionado portátil Agratto é um modelo compacto que se adapta a qualquer ambiente. Ele possui adaptadores de janela na tubulação para saída do ar quente para que não haja necessidade de obras para fazer a instalação. Ele é compacto e fácil de transportar, porque conta com alças e rodinhas. O ar portátil Agratto tem sistema de condensação que não tem necessidade de colocar e retirar água.;O ar Condicionado portátil Agratto é potente, econômico e você ganha 5% off no boleto à vista aqui na CentralAr.com;https://cdn2.centralar.com.br/centralar/mds/produtos/agratto/portatil/2442/ar-condicionado-portatil-agratto-11000-btus-frio-127v-monofasico-acp11f01_Fot2442_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/agratto/portatil/2442/ar-condicionado-portatil-agratto-11000-btus-frio-127v-monofasico-acp11f01_Fot2442_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/agratto/portatil/2442/ar-condicionado-portatil-agratto-11000-btus-frio-127v-monofasico-acp11f01_Fot2442_2_Full.jpg,https://cdn2.centralar.com.br/centralar/mds/produtos/agratto/portatil/2442/ar-condicionado-portatil-agratto-11000-btus-frio-127v-monofasico-acp11f01_Fot2442_3_Full.jpg;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
2442;ar-condicionado-portatil-agratto-11000-btus-frio-127v-monofasico-acp11f01.html;Ar Condicionado Portatil Agratto 11000 Btus Frio 127V Monofasico ACP11F01;Ar Condicionado Portatil Agratto 11000 Btus Frio 127V Monofasico ACP11F01;;Ideal para locais que não podem sofrer alterações para instalar um ar Condicionado, o ar Condicionado portátil Agratto é um modelo compacto que se adapta a qualquer ambiente. Ele possui adaptadores de janela na tubulação para saída do ar quente para que não haja necessidade de obras para fazer a instalação. Ele é compacto e fácil de transportar, porque conta com alças e rodinhas. O ar portátil Agratto tem sistema de condensação que não tem necessidade de colocar e retirar água.;O ar Condicionado portátil Agratto é potente, econômico e você ganha 5% off no boleto à vista aqui na CentralAr.com;https://cdn2.centralar.com.br/centralar/mds/produtos/agratto/portatil/2442/ar-condicionado-portatil-agratto-11000-btus-frio-127v-monofasico-acp11f01_Fot2442_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/agratto/portatil/2442/ar-condicionado-portatil-agratto-11000-btus-frio-127v-monofasico-acp11f01_Fot2442_1_Full.jpg;https://cdn2.centralar.com.br/centralar/mds/produtos/agratto/portatil/2442/ar-condicionado-portatil-agratto-11000-btus-frio-127v-monofasico-acp11f01_Fot2442_2_Full.jpg,https://cdn2.centralar.com.br/centralar/mds/produtos/agratto/portatil/2442/ar-condicionado-portatil-agratto-11000-btus-frio-127v-monofasico-acp11f01_Fot2442_3_Full.jpg;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
